order_id,paid_total,payment_status,payments_count,last_payment_date,has_multiple_payments
1,1987.16,paid,1,2023-08-23 19:25:59+00:00,False
10,8723.65,paid,1,2024-01-02 07:20:35+00:00,False
100,20045.19,paid,1,2024-07-15 18:34:02+00:00,False
1000,9576.96,paid,1,2024-06-23 13:16:16+00:00,False
10000,16799.85,paid,1,2024-05-09 02:45:10+00:00,False
10001,37663.46,paid,1,2023-11-25 22:26:32+00:00,False
10002,14194.38,paid,1,2023-12-30 11:38:02+00:00,False
10003,11075.48,paid,1,2024-08-31 06:40:17+00:00,False
10004,15995.53,paid,1,2023-12-22 14:06:45+00:00,False
10007,11161.44,paid,1,2023-08-12 21:05:25+00:00,False
10008,11567.24,paid,1,2024-03-05 11:40:57+00:00,False
10009,25054.16,paid,1,2024-02-11 21:54:38+00:00,False
1001,18852.55,paid,1,2024-05-30 18:50:26+00:00,False
10010,31876.07,paid,1,2023-10-27 00:28:50+00:00,False
10011,8917.49,paid,1,2024-02-18 11:13:30+00:00,False
10012,10171.31,paid,1,2023-10-24 08:34:29+00:00,False
10013,21526.57,paid,1,2024-02-11 14:16:19+00:00,False
10014,38358.48,paid,1,2024-03-29 16:12:29+00:00,False
10016,7948.06,paid,1,2024-05-19 19:30:34+00:00,False
10017,14190.06,paid,1,2023-08-17 19:12:19+00:00,False
10018,50140.99,paid,1,2024-08-17 19:48:51+00:00,False
10019,4393.0,paid,1,2024-01-03 18:10:15+00:00,False
1002,18547.26,paid,1,2024-01-27 05:23:30+00:00,False
10020,12449.68,paid,1,2024-08-08 00:57:45+00:00,False
10021,15480.54,paid,1,2024-07-03 11:43:33+00:00,False
10022,20012.21,paid,1,2024-03-30 02:44:22+00:00,False
10023,13348.9,paid,1,2024-07-27 20:58:32+00:00,False
10024,27464.83,paid,1,2024-09-30 09:19:18+00:00,False
10025,12107.21,paid,1,2024-06-10 21:49:20+00:00,False
10026,4621.9,paid,1,2024-02-24 19:35:18+00:00,False
10028,4754.59,paid,1,2024-03-26 15:22:39+00:00,False
10029,14960.64,paid,1,2024-07-23 07:19:34+00:00,False
1003,11342.35,paid,1,2024-11-07 18:39:27+00:00,False
10030,8285.37,paid,1,2024-03-19 02:40:38+00:00,False
10031,2460.38,paid,1,2024-10-08 13:41:39+00:00,False
10032,3820.99,paid,1,2024-04-14 20:54:32+00:00,False
10033,17599.37,paid,1,2023-09-18 18:27:29+00:00,False
10034,10609.97,paid,1,2024-09-20 03:35:43+00:00,False
10035,18051.99,paid,1,2024-06-12 05:30:00+00:00,False
10036,7364.95,paid,1,2024-08-01 17:26:08+00:00,False
10037,16956.37,paid,1,2024-08-19 17:53:37+00:00,False
10038,27320.6,paid,1,2024-07-10 06:41:41+00:00,False
10039,1828.15,paid,1,2024-01-20 03:26:35+00:00,False
1004,2000.49,paid,1,2024-05-31 17:36:43+00:00,False
10040,29594.85,paid,1,2024-01-17 21:56:42+00:00,False
10041,15865.77,paid,1,2023-08-28 03:23:09+00:00,False
10042,17019.88,paid,1,2024-11-19 15:57:16+00:00,False
10043,10153.65,paid,1,2024-08-05 04:14:25+00:00,False
10044,31975.57,paid,1,2024-07-01 16:58:30+00:00,False
10045,1069.39,paid,1,2024-08-28 16:25:19+00:00,False
10047,6719.5,paid,1,2024-11-29 23:27:17+00:00,False
10048,18892.3,paid,1,2024-06-19 17:22:26+00:00,False
10049,15055.22,paid,1,2024-06-16 09:49:26+00:00,False
