order_id,gmv_gross,gmv_net,items_count,has_valid_items
1,2199.1800000000003,1987.16,2,True
10,9030.529999999999,8723.65,2,True
100,21976.5,20045.190000000002,4,True
1000,9685.18,9576.960000000001,3,True
10000,17228.479999999996,16799.85,3,True
10001,41626.02,37663.46,5,True
10002,15238.44,14194.38,3,True
10003,12005.4,11075.48,3,True
10004,17977.309999999998,15995.529999999999,2,True
10005,27325.43,24890.79,5,True
10006,4968.75,4822.71,3,True
10007,11946.449999999999,11161.439999999999,2,True
10008,13048.580000000002,11567.24,3,True
10009,28179.08,25054.16,5,True
1001,19405.61,18852.550000000003,4,True
10010,33767.95,31876.07,5,True
10011,9755.96,8917.49,3,True
10012,10793.7,10171.31,3,True
10013,21882.49,21526.570000000003,3,True
10014,42844.409999999996,38358.479999999996,4,True
10015,3715.1800000000003,3535.8,1,True
10016,8496.470000000001,7948.06,3,True
10017,15555.119999999999,14190.06,3,True
10018,52987.92,50140.99,5,True
10019,4713.950000000001,4393.000000000001,2,True
1002,20406.399999999998,18547.260000000002,3,True
10020,13085.6,12449.68,2,True
10021,16954.99,15480.54,5,True
10022,21561.649999999998,20012.21,6,True
10023,16648.98,13348.9,3,True
10024,28206.82,27464.83,5,True
10025,12511.6,12107.210000000001,1,True
10026,4951.18,4621.9,2,True
10027,13086.0,12304.92,5,True
10028,5505.29,4754.59,2,True
10029,17020.52,14960.64,2,True
1003,11818.44,11342.349999999999,2,True
10030,9637.46,8285.369999999999,1,True
10031,2595.0099999999998,2460.3799999999997,1,True
10032,4159.8099999999995,3820.99,2,True
10033,17986.03,17599.37,3,True
10034,11719.02,10609.97,2,True
10035,19769.05,18051.989999999998,1,True
10036,7969.950000000001,7364.95,2,True
10037,18040.870000000003,16956.37,4,True
10038,30189.68,27320.600000000002,4,True
10039,2107.84,1828.15,1,True
1004,2261.16,2000.49,2,True
10040,31050.27,29594.85,3,True
10041,17388.949999999997,15865.769999999999,2,True
10042,19170.670000000002,17019.88,2,True
10043,10605.260000000002,10153.650000000001,3,True
10044,34264.399999999994,31975.57,5,True
10045,1176.8000000000002,1069.39,1,True
10046,5978.7,5850.2699999999995,2,True
10047,7630.56,6719.5,3,True
10048,19362.85,18892.3,5,True
10049,16833.13,15055.220000000001,6,True
1005,24034.800000000003,21298.82,5,True
10050,9216.39,8718.12,2,True
10051,37766.94,35935.14,3,True
10052,6215.58,6051.09,1,True
10053,40518.229999999996,23465.18,4,True
10054,2253.72,2034.5199999999998,1,True
10055,22860.109999999997,20686.76,3,True
10056,32002.61,29154.3,5,True
10057,16508.52,15882.880000000001,2,True
10058,1148.72,1044.51,1,True
10059,19020.760000000002,17768.88,2,True
1006,11851.24,11321.54,4,True
10060,21474.769999999997,20485.6,3,True
10061,20488.670000000002,18452.89,6,True
10062,974.56,896.29,1,True
10063,7761.109999999999,7122.889999999999,2,True
10064,12744.21,11745.739999999998,2,True
10065,1142.48,1023.9100000000001,1,True
10066,9236.269999999999,3996.269999999999,2,True
10067,27964.699999999997,26377.62,3,True
10068,10844.64,9246.609999999999,1,True
10069,22976.170000000002,22437.39,4,True
1007,2176.32,2160.9500000000003,1,True
10070,3950.98,3366.94,1,True
10071,18572.42,17030.64,3,True
10072,22898.440000000002,20647.77,4,True
10073,12539.460000000001,10912.630000000001,2,True
10074,4418.89,3835.2000000000003,2,True
10075,29016.82,26742.87,3,True
10076,4920.9800000000005,4871.27,2,True
10077,12480.85,11997.380000000001,1,True
10078,41005.92,37064.6,5,True
10079,6392.68,5947.200000000001,1,True
1008,17593.300000000003,15861.220000000001,2,True
10080,12402.89,11191.64,3,True
10081,2732.85,2478.52,1,True
10082,20194.739999999998,17748.6,3,True
10083,33128.159999999996,32498.53,4,True
10084,29945.84,26652.590000000004,3,True
10085,969.52,963.16,1,True
10086,6235.710000000001,3303.9700000000007,2,True
10087,16294.32,14371.47,1,True
10088,33020.85,31545.96,4,True
10089,12244.739999999998,11504.25,2,True
1009,14940.47,14648.25,4,True
10090,9196.880000000001,7985.0,3,True
10091,9771.28,9060.55,4,True
10092,7399.98,7134.0199999999995,1,True
10093,15024.96,13847.179999999998,1,True
10094,5106.82,5042.33,2,True
10095,22301.46,19584.45,2,True
10096,40327.62,36771.92,6,True
10097,20202.05,19122.199999999997,4,True
10098,24738.120000000003,23720.68,4,True
10099,13639.5,12649.119999999999,2,True
101,21680.43,16143.09,4,True
1010,4636.41,4475.16,1,True
10100,14444.01,13679.5,2,True
10101,24012.59,21928.09,3,True
10102,35113.259999999995,31956.17,4,True
10103,34361.090000000004,32663.74,5,True
10104,52039.23,47677.670000000006,6,True
10105,38277.57,35729.03,4,True
10106,9866.550000000001,9014.300000000001,2,True
10107,2866.87,2741.07,2,True
10108,8264.65,7532.360000000001,2,True
10109,31457.67,29978.989999999998,4,True
1011,15300.11,14146.34,2,True
10110,13837.74,12641.869999999999,5,True
10111,22286.67,20186.68,3,True
10112,24454.07,21818.83,4,True
10113,27160.249999999996,26704.479999999996,3,True
10114,2441.2799999999997,2349.17,2,True
10115,11092.960000000001,10798.79,1,True
10116,1354.12,1225.96,2,True
10117,16470.550000000003,14609.970000000001,5,True
10118,857.58,854.1700000000001,1,True
10119,8015.1,7021.49,4,True
1012,41273.25,36601.18,4,True
10120,37143.04,34582.34,4,True
10121,27231.27,26558.039999999997,3,True
10122,590.45,580.5,1,True
10123,11504.08,10544.5,3,True
10124,7099.05,6294.84,2,True
10125,14672.32,13334.170000000002,2,True
10126,32549.57,30458.75,3,True
10127,14864.04,13502.220000000001,2,True
10128,31007.539999999997,30014.359999999997,4,True
10129,6507.12,5719.6,1,True
1013,32182.4,29634.78,2,True
10130,12697.05,12355.49,1,True
10131,3140.2000000000003,2895.06,2,True
10132,24648.89,23882.77,3,True
10133,4910.8,4790.17,3,True
10134,3637.92,3209.4900000000002,1,True
10135,6575.610000000001,6185.32,3,True
10136,8848.91,7698.74,2,True
10137,24295.67,22778.41,3,True
10138,7259.25,7133.88,1,True
10139,24711.57,22828.809999999998,4,True
1014,28708.45,26194.97,6,True
10140,33138.990000000005,29845.840000000004,4,True
10141,2687.7999999999997,2631.2,1,True
10142,19614.690000000002,15442.529999999999,2,True
10143,7657.65,7271.17,1,True
10144,12416.4,12137.76,2,True
10145,21692.600000000002,20107.61,3,True
10146,10241.400000000001,9050.02,2,True
10147,22345.23,21293.66,2,True
10148,20396.9,19293.75,4,True
10149,3310.23,3041.47,3,True
1015,20897.43,19806.07,4,True
10150,23567.989999999998,21954.93,4,True
10151,14537.08,13391.19,3,True
10152,37779.93,34485.189999999995,6,True
10153,978.24,833.54,1,True
10154,112.69999999999999,111.61999999999999,1,True
10155,1866.28,1735.76,2,True
10156,20215.79,17733.95,3,True
10157,16253.5,15292.94,2,True
10158,12510.84,11058.269999999999,2,True
10159,24169.75,21764.01,4,True
1016,2402.7000000000003,2263.0800000000004,1,True
10160,11278.56,10389.720000000001,2,True
10161,16394.629999999997,9975.66,3,True
10162,28959.69,27099.289999999997,3,True
10163,2380.58,2332.93,1,True
10164,43706.56,39492.85,4,True
10165,9121.68,8571.61,3,True
10166,4874.9,4560.629999999999,1,True
10167,13595.06,12276.77,2,True
